,abv,beer_link,beer_name,beer_style,beer_style_match,brewery,rDev,user_rating,Color,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Custom Flavor,Sour,Aroma,spicy,bitter,csv_name,style_name,match_name
26,6.00,https://www.beeradvocate.com/beer/profile/199/200560/,Mocha Marlin,American Porter,americanporter,Ballast Point Brewing Company,0.2,4.09,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
27,6.20,https://www.beeradvocate.com/beer/profile/14879/118321/,Tower Tuesday Series: Infusion A - Coffee Porter,American Porter,americanporter,Hoppin' Frog Brewery,1.4,4.21,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
28,?,https://www.beeradvocate.com/beer/profile/29858/168045/,Patrol Car,American Porter,americanporter,Fifty West Brewing Co,0.2,4.12,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
29,11.60,https://www.beeradvocate.com/beer/profile/63/222205/,Black Butte XXVIII,American Porter,americanporter,Deschutes Brewery,0.5,4.28,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
30,6.00,https://www.beeradvocate.com/beer/profile/16057/37795/,Coconut Hiwa Porter,American Porter,americanporter,Maui Brewing Co.,2.3,4.04,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
31,9.30,https://www.beeradvocate.com/beer/profile/94/106738/,Culmination Chocolate Porter (Brush & Barrel Series),American Porter,americanporter,Long Trail Brewing Co.,2.0,4.1,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
32,6.00,https://www.beeradvocate.com/beer/profile/36487/153002/,Platform Lawlessness,American Porter,americanporter,Platform Beer Co.,5.1,4.12,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
33,5.80,https://www.beeradvocate.com/beer/profile/1627/11426/,Porter,American Porter,americanporter,Eel River Brewing Co.,11.2,3.97,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
34,6.50,https://www.beeradvocate.com/beer/profile/37742/235282/,Chief Vanilla Porter,American Porter,americanporter,Old Firehouse Brewing,0.8,3.88,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
35,6.50,https://www.beeradvocate.com/beer/profile/302/33543/,Dundee Porter,American Porter,americanporter,Genesee Brewing Co. / Dundee Brewing Co.,2.6,3.54,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
