,names,style,url,urlHack
12244,Achel Extra Blond,Tripel,https://www.beeradvocate.com/beer/profile/922/45900/,https://www.beeradvocate.com/beer/profile/922/45900/ 
12245,De Koninck Tripel,Tripel,https://www.beeradvocate.com/beer/profile/218/24754/,https://www.beeradvocate.com/beer/profile/218/24754/ 
12246,Draeckenier,Tripel,https://www.beeradvocate.com/beer/profile/3521/66490/,https://www.beeradvocate.com/beer/profile/3521/66490/ 
12247,Seme Della Vita,Tripel,https://www.beeradvocate.com/beer/profile/28657/98243/,https://www.beeradvocate.com/beer/profile/28657/98243/ 
12248,Lucy's Belgian Style Abbey Tripel,Tripel,https://www.beeradvocate.com/beer/profile/24445/66848/,https://www.beeradvocate.com/beer/profile/24445/66848/ 
12249,Third Base,Tripel,https://www.beeradvocate.com/beer/profile/28226/94784/,https://www.beeradvocate.com/beer/profile/28226/94784/ 
12250,Sint Canarus Tripel,Tripel,https://www.beeradvocate.com/beer/profile/9197/16526/,https://www.beeradvocate.com/beer/profile/9197/16526/ 
12251,La Calavera Catrina,Tripel,https://www.beeradvocate.com/beer/profile/32855/146754/,https://www.beeradvocate.com/beer/profile/32855/146754/ 
12252,Valeir Divers,Tripel,https://www.beeradvocate.com/beer/profile/3463/28030/,https://www.beeradvocate.com/beer/profile/3463/28030/ 
12253,Moeder Overste,Tripel,https://www.beeradvocate.com/beer/profile/149/7353/,https://www.beeradvocate.com/beer/profile/149/7353/ 
12254,St. Paul Triple,Tripel,https://www.beeradvocate.com/beer/profile/183/5634/,https://www.beeradvocate.com/beer/profile/183/5634/ 
12255,Tripel Kanunnik,Tripel,https://www.beeradvocate.com/beer/profile/26614/81573/,https://www.beeradvocate.com/beer/profile/26614/81573/ 
12256,Emboozlement Tripel,Tripel,https://www.beeradvocate.com/beer/profile/28838/80309/,https://www.beeradvocate.com/beer/profile/28838/80309/ 
12257,Oude Zuipers Tripel,Tripel,https://www.beeradvocate.com/beer/profile/2240/47615/,https://www.beeradvocate.com/beer/profile/2240/47615/ 
12258,Vanderbush,Tripel,https://www.beeradvocate.com/beer/profile/25937/101077/,https://www.beeradvocate.com/beer/profile/25937/101077/ 
12259,Ménage À Frog,Tripel,https://www.beeradvocate.com/beer/profile/1391/36064/,https://www.beeradvocate.com/beer/profile/1391/36064/ 
12260,Gentse Tripel,Tripel,https://www.beeradvocate.com/beer/profile/48/12957/,https://www.beeradvocate.com/beer/profile/48/12957/ 
12261,Hertog Jan Tripel,Tripel,https://www.beeradvocate.com/beer/profile/530/5862/,https://www.beeradvocate.com/beer/profile/530/5862/ 
12262,Exemption,Tripel,https://www.beeradvocate.com/beer/profile/32480/114180/,https://www.beeradvocate.com/beer/profile/32480/114180/ 
12263,Jude,Tripel,https://www.beeradvocate.com/beer/profile/33522/109096/,https://www.beeradvocate.com/beer/profile/33522/109096/ 
12264,Trois Filles Tripel,Tripel,https://www.beeradvocate.com/beer/profile/21448/55852/,https://www.beeradvocate.com/beer/profile/21448/55852/ 
12265,Jaggery Tripel,Tripel,https://www.beeradvocate.com/beer/profile/31783/100298/,https://www.beeradvocate.com/beer/profile/31783/100298/ 
12266,Ch'ti Triple,Tripel,https://www.beeradvocate.com/beer/profile/380/17664/,https://www.beeradvocate.com/beer/profile/380/17664/ 
12267,Desert Select Tripel,Tripel,https://www.beeradvocate.com/beer/profile/2266/73732/,https://www.beeradvocate.com/beer/profile/2266/73732/ 
12268,Belgian Tripel,Tripel,https://www.beeradvocate.com/beer/profile/6045/42785/,https://www.beeradvocate.com/beer/profile/6045/42785/ 
12269,VårTripel,Tripel,https://www.beeradvocate.com/beer/profile/37503/65839/,https://www.beeradvocate.com/beer/profile/37503/65839/ 
12270,Monks' Tripel,Tripel,https://www.beeradvocate.com/beer/profile/24136/79822/,https://www.beeradvocate.com/beer/profile/24136/79822/ 
12271,The Fighting Bishop,Tripel,https://www.beeradvocate.com/beer/profile/28606/82140/,https://www.beeradvocate.com/beer/profile/28606/82140/ 
12272,Fallen Friar,Tripel,https://www.beeradvocate.com/beer/profile/43/47846/,https://www.beeradvocate.com/beer/profile/43/47846/ 
12273,Enghien Noël Triple Blonde,Tripel,https://www.beeradvocate.com/beer/profile/804/16676/,https://www.beeradvocate.com/beer/profile/804/16676/ 
12274,Ultra Blonde,Tripel,https://www.beeradvocate.com/beer/profile/4260/9069/,https://www.beeradvocate.com/beer/profile/4260/9069/ 
12275,Belgian Tripel,Tripel,https://www.beeradvocate.com/beer/profile/13307/66497/,https://www.beeradvocate.com/beer/profile/13307/66497/ 
12276,Tongerlo 8 Tripel Blond,Tripel,https://www.beeradvocate.com/beer/profile/725/9163/,https://www.beeradvocate.com/beer/profile/725/9163/ 
12277,Hibiscus Tripel,Tripel,https://www.beeradvocate.com/beer/profile/26753/184301/,https://www.beeradvocate.com/beer/profile/26753/184301/ 
12278,Erastus,Tripel,https://www.beeradvocate.com/beer/profile/32906/100901/,https://www.beeradvocate.com/beer/profile/32906/100901/ 
12279,Tripel,Tripel,https://www.beeradvocate.com/beer/profile/36757/70801/,https://www.beeradvocate.com/beer/profile/36757/70801/ 
12280,Sibling Rivalry,Tripel,https://www.beeradvocate.com/beer/profile/31678/246280/,https://www.beeradvocate.com/beer/profile/31678/246280/ 
12281,Saint Toddy,Tripel,https://www.beeradvocate.com/beer/profile/31805/265502/,https://www.beeradvocate.com/beer/profile/31805/265502/ 
12282,Adelardus Tripel,Tripel,https://www.beeradvocate.com/beer/profile/3313/25128/,https://www.beeradvocate.com/beer/profile/3313/25128/ 
12283,Three Fates,Tripel,https://www.beeradvocate.com/beer/profile/39158/160303/,https://www.beeradvocate.com/beer/profile/39158/160303/ 
12284,Tripel,Tripel,https://www.beeradvocate.com/beer/profile/32615/109139/,https://www.beeradvocate.com/beer/profile/32615/109139/ 
12285,Tripels Alley,Tripel,https://www.beeradvocate.com/beer/profile/610/110942/,https://www.beeradvocate.com/beer/profile/610/110942/ 
