,names,style,url
5064,Riverside Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/24453/64903/
5065,North 45 Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30272/97435/
5066,Red Alert Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/4632/16798/
5067,Boss Lady Rustic Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30364/122783/
5068,El Tecnico,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/37451/144041/
5069,Witch City Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/299/4780/
5070,Cane Fire Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/29682/90798/
5071,Rockets Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/4928/31933/
5072,Suzanne Marceau,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/16104/56253/
5073,Juicebox Series: Blood Orange Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/31371/191172/
5074,Budweiser Crown,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/478/114658/
5075,Mandarin Orange Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/14598/64482/
5076,Brick Row Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/24047/70120/
5077,Crimzen,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/43092/264941/
5078,Bronco,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/42423/200941/
5079,Harvest Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/7739/14065/
5080,Burning Sun Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33837/112121/
5081,Metolius River Rusty Spinner Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/21092/82176/
5082,Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/31837/96776/
5083,Rockpile,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/3795/103951/
5084,Conundrum Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/18130/45847/
5085,Red Barchetta,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/11599/94234/
5086,Alpha,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33235/105754/
5087,Knuckleball,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33165/123421/
5088,Drop Dead Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/11591/43813/
5089,Pilot Batch #115 Red IPA,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/12959/133425/
5090,Bone Dusters,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/25818/131387/
5091,Obed's Pride Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/28569/79938/
5092,Ocho Reales Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/11936/127560/
5093,Dempsey's Red Rooster Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/8930/27723/
5094,Railway City Iron Spike - Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/17014/43086/
5095,Boa's Bind Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/2557/86095/
5096,Loco Imperial Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/11212/46161/
5097,Trail Ridge Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/4738/15956/
5098,Erik The Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/2946/39518/
5099,Rock Island Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/4063/10849/
5100,Scout Dog 44,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/34008/134760/
5101,Thunder Canyon Deep Canyon Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/2084/8569/
5102,Mosquito Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30591/92796/
5103,Copperhead Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/14745/44930/
5104,Gr'ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/21683/54664/
5105,Misty Valley Reclaimed Rye,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/34456/119438/
5106,Red Line Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/37475/144273/
5107,Yola?s Artisan Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/29782/85140/
5108,Cascade Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/2792/11935/
5109,Alehouse Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/403/64674/
5110,Fin De Siècle,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1142/9635/
5111,Raccoon Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1550/18855/
5112,Brutopian Valhalla,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/34665/121006/
5113,Temptation Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/32495/107695/
5114,Mississippi Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/34007/115376/
5115,Mosh Pit,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/31319/100789/
5116,Tuscarora Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/8776/18361/
5117,Storm Cloudy Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/12319/31929/
5118,Camp Slap,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/34785/122305/
5119,Red Roadster,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/2313/22486/
5120,BdbBi(G)Bodyibu,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/14046/82137/
5121,Maple Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/36100/132059/
5122,American Copper,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/32910/183021/
5123,Double Dirty Hippie,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/14064/118001/
5124,Joker Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/16396/69628/
5125,Barrel Aged Moustache Ride Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/24412/104700/
5126,Victoria Bitter Original Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/353/23550/
5127,Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/23675/95493/
5128,Rockingham Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/39028/160011/
5129,Dark Red IPA,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/31190/91413/
5130,Reggae Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/12402/44311/
5131,Cinnamon Girl,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/30128/146721/
5132,Hound's Tooth Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/10271/20780/
5133,Serpensblod,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/31326/126256/
5134,Jupiter's Moons,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/34285/148532/
5135,Firecat,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/31408/154677/
5136,Rust Belt,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/14207/31543/
5137,High Tor,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/25434/93515/
5138,Ægir Rallar Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/20864/71250/
5139,Copperhead,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/41453/192339/
5140,Fat Cat Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/19476/48472/
5141,BJ's Oasis,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/27038/80474/
5142,2011 Reserve Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/23743/75362/
5143,Paradigm Shift,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/12142/118119/
5144,Amber's Hot Friend,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/15824/61045/
5145,Anacortes Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1066/3193/
5146,NW Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/33525/107905/
5147,Water Street Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/1910/8074/
5148,Amber,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/2156/46476/
5149,Red Water,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/15943/116117/
5150,"Same Old, Same Old",American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/16354/91808/
5151,Eve Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/19126/131233/
5152,Screening Room Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/18353/85155/
5153,Nice And Naughty Christmas Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/24102/75945/
5154,Baja Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/16900/67759/
5155,Panama Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/31321/158389/
5156,Mean Street,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/40894/176053/
5157,Hyperion Red Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/34409/118458/
5158,17th Street Amber Ale,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/21396/93379/
5159,Colorado Red,American Amber / Red Ale,https://www.beeradvocate.com/beer/profile/36377/138436/
